Section,Offense,Punishment
IPC_355,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation",2 Years or Fine or Both
IPC_356,Assault or criminal force in attempt to commit theft of property worn or carried by a person,2 Years or Fine or Both
IPC_357,Assault or use of criminal Force in attempt wrongfully to confine a person,1 Year or Fine or Both
IPC_358,Assault or use of criminal force on grave and sudden provocation,Simple Imprisonment for 1 Month or Fine or Both
IPC_359,nan,nan
IPC_360,nan,nan
IPC_361,nan,nan
IPC_362,nan,nan
IPC_363,Kidnapping,7 Years + Fine
IPC_363A,Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging,10 Years + Fine.
IPC_364,Kidnapping or abducting in order to murder,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
IPC_364A,"Kidnapping for ransom, etc.",Death or Life + Fine
IPC_365,Kidnapping or abducting with intent secretly and wrongfully to confine a person,7 Years + Fine
IPC_366,Kidnapping or abducting a woman to compel her marriage or to cause her defilement etc.,10 Years + Fine
IPC_366A,Procuration of minor girl,10 Years + Fine
IPC_366B,Importation of girl from foreign country,10 Years + Fine
IPC_367,"Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.",10 Years + Fine
IPC_368,Concealing or keeping in confinement a kidnapped person,As for Kidnapping or Abduction
IPC_369,Kidnapping or abducting a child with intent to take property from the person of such child,7 Years + Fine
IPC_370,Trafficking of person,7 to 10 years + Fine
IPC_370A,Exploitation of a trafficked child,5 to 7 years + Fine
IPC_371,Habitual dealing in slaves,Life or 10 Years + Fine
IPC_372,"Selling or letting to hire a minor for purposes of prostitution, etc.",10 Years + Fine
IPC_373,Buying or obtaining possession of a minor for the same purposes,10 Years + Fine
IPC_374,Unlawful compulsory labour,1 Year or Fine or Both
IPC_375,nan,nan
IPC_376,Rape,Rigorous Imprisonment for 10 years to Imprisonment for Life + Fine
IPC_376A,Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state,Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life or Death
IPC_376AB,nan,nan
IPC_376B,Sexual intercourse by husband upon his wife during separation,2 to 7 years + Fine
IPC_376C,Sexual intercourse by a person in authority,Rigorous Imprisonment for 5 to 10 years + Fine
IPC_376D,Gang rape,Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life + Fine paid to the victim
IPC_376DA,nan,nan
IPC_376DB,nan,nan
IPC_376E,Repeat offenders,Imprisonment for Natural-Life or Death
IPC_377,Unnatural offences,Imprisonment for Life or 10 Years + Fine
IPC_378,nan,nan
IPC_379,Theft,3 Years or Fine or Both
IPC_380,"Theft in a building, tent or vessel",7 Years + Fine
IPC_381,Theft by clerk or servant of property in possession of master or employer,7 Years + Fine
IPC_382,"Theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it",Rigorous Imprisonment for 10 Years + Fine
IPC_383,nan,nan
IPC_384,Extortion,3 Years or Fine or Both
IPC_385,"Putting or attempting to put in fear of injury, in order to commit extortion",2 Years or Fine or Both
IPC_386,extortion by putting a person in fear of death or grievous hurt,10 Years + Fine
IPC_387,Putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion,7 Years + Fine
IPC_388,"Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years.",10 Years + Fine.
IPC_389,"Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years in order to commit extortion.",10 Years + Fine
IPC_390,nan,nan
IPC_391,nan,nan
IPC_392,Robbery,Rigorous Imprisonment for 10 Years + Fine
IPC_393,Attempt to commit robbery,Rigorous Imprisonment for 7 Years + Fine
IPC_394,"Person voluntarily causing hurt in committing or attempting to commit robbery, or any other person jointly concerned in such robbery",Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
IPC_395,Dacoity,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
IPC_396,Murder in Dacoity,"Death, Imprisonment for Life, or Rigorous Imprisonment for 10 Years + Fine"
IPC_397,"Robber or Dacoity, with attempt to cause death or grievous hurt",Rigorous Imprisonment for not less than 7 Years
IPC_398,Attempt to commit robbery or Dacoity when armed with deadly weapons,Rigorous Imprisonment for not less than 7 Years
IPC_399,Making preparation to commit Dacoity,Rigorous Imprisonment for 10 Years + Fine
IPC_400,Belonging to a gang of persons associated for the purpose of habitually committing Dacoity,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
IPC_401,Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts,Rigorous Imprisonment for 7 Years + Fine
IPC_402,Being one of five or more persons assembled for the purpose of committing Dacoity,Rigorous Imprisonment for 7 Years + Fine
IPC_403,"Dishonest misappropriation of movable property, or converting it to oneâ€™s own use",2 Years or Fine or Both
IPC_404,"Dishonest misappropriation of property, knowing that it was in possession of a deceased person at his death, and that it has not since been in the possession of any person legally entitled to it",3 Years + Fine
IPC_405,nan,nan
IPC_406,Criminal breach of trust,3 Years or Fine or Both
